model output z time halo
P0noBHs 3968 0.03 13.37 1
P0noBHs 3840 0.06 12.94 1
P0noBHs 3712 0.10 12.51 1
P0noBHs 3584 0.13 12.08 1
P0noBHs 3456 0.17 11.65 1
P0noBHs 3328 0.21 11.22 1
P0noBHs 3200 0.25 10.79 1
P0noBHs 3195 0.25 10.77 1
P0noBHs 3072 0.29 10.35 1
P0noBHs 2944 0.34 9.92 1
P0noBHs 2816 0.39 9.49 1
P0noBHs 2688 0.44 9.06 1
P0noBHs 2560 0.50 8.63 1
P0noBHs 2554 0.50 8.61 1
P0noBHs 2432 0.56 8.20 1
P0noBHs 2304 0.62 7.77 1
P0noBHs 2176 0.70 7.34 1
P0noBHs 2048 0.77 6.91 1
P0noBHs 1920 0.86 6.48 1
P0noBHs 1792 0.96 6.05 1
P0noBHs 1739 1.00 5.87 1
P0noBHs 1664 1.06 5.62 1
P0noBHs 1536 1.18 5.19 1
P0noBHs 1408 1.32 4.76 1
P0noBHs 1280 1.48 4.32 1
P0noBHs 1152 1.67 3.89 1
P0noBHs 1024 1.90 3.46 1
P0noBHs 972 2.00 3.29 1
P0noBHs 896 2.17 3.03 1
P0noBHs 768 2.52 2.60 2
P0noBHs 640 2.98 2.17 2
P0noBHs 635 3.00 2.15 2
P0noBHs 512 3.61 1.74 2
P0noBHs 454 4.00 1.55 2
P0noBHs 384 4.58 1.31 2
P0noBHs 345 4.99 1.18 1
P0noBHs 273 5.99 0.94 1
P0noBHs 256 6.29 0.88 1
P0noBHs 223 6.98 0.77 1
P0noBHs 186 7.98 0.64 1
